l_code	y	y_est	y_deviation	ranking
el	31.9	36.58912227177704	-4.689	146
ps	0.556	8.138730066109577	-7.583	147
qu	0.991	10.31819554486923	-9.327	148
be	8.4	19.512321215305047	-11.112	149
bs	6.6	17.793030764395635	-11.193	150
su	1.2	13.663312639061107	-12.463	151
xh	0.171	13.314838990785585	-13.144	152
kk	13.2	28.33150019804558	-15.132	153
ro	46.1	65.63575400191729	-19.536	154
sr	21.3	42.66951661114396	-21.370	155
or	0.759	24.268126671506135	-23.509	156
ml	4.6	29.645207293517206	-25.045	157
zu	0.296	26.265709297681685	-25.970	158
bar	1.2	28.26244226317883	-27.062	159
kn	1.5	31.921908562681434	-30.422	160
th	64.6	104.07825266055842	-39.478	161
nds	1.2	41.65998766738937	-40.460	162
id	140.0	182.2908591415162	-42.291	163
yo	1.1	43.74332469471946	-42.643	164
ig	0.602	43.467055866634595	-42.865	165
gu	0.861	44.182580444522586	-43.322	166
ceb	2.5	45.86455271692479	-43.365	167
fa	85.6	134.7994231780592	-49.199	168
az	9.1	69.44893812519703	-60.349	169
gan	0.572	61.668290242867144	-61.096	170
uz	3.0	70.59243913068642	-67.592	171
zh-min-nan	0.963	71.83115702814747	-70.868	172
ta	5.5	78.82193701347506	-73.322	173
mr	3.7	82.43686904443837	-78.737	174
te	2.6	85.49838180090849	-82.898	175
jv	2.0	85.98784218413309	-83.988	176
pnb	0.913	88.87347091424236	-87.960	177
hak	0.396	92.15689059870816	-91.761	178
tr	167.0	265.8982881061692	-98.898	179
sh	11.8	116.34357536589185	-104.544	180
ms	14.3	119.23197359213474	-104.932	181
sw	2.5	121.34439740624545	-118.844	182
tl	9.1	160.8577069631497	-151.758	183
bn	8.6	183.77998126185497	-175.180	184
arz	3.9	191.74307537601524	-187.843	185
pa	0.877	202.4630192605005	-201.586	186
vi	56.1	258.7842202449201	-202.684	187
ur	2.9	206.1942728392304	-203.294	188
ko	103.0	341.3589586844317	-238.359	189
wuu	0.563	280.1699261263944	-279.607	190
es	1357.0	1748.9320050331714	-391.932	191
pt	380.0	828.1966050732597	-448.197	192
hi	13.3	608.4209546195597	-595.121	193
ar	167.0	875.2066966991217	-708.207	194
zh	541.0	4822.004329098249	-4281.004	195
