tag	type	c_code	l_name	officialStatus	populationPercent	references	writingPercent	geo	ISO
nso-ZA	nso	ZA	Northern Sotho	official_regional	0.0940		50	ZA	ZAF
nus-SD	nus	SD	Nuer		0.0180	R1280		SD	SDN
nv-US	nv	US	Navajo		0.0005			US	USA
nxq-CN	nxq	CN	Naxi		0.0002			CN	CHN
ny-MW	ny	MW	Nyanja	official	0.6300			MW	MWI
ny-MZ	ny	MZ	Nyanja		0.0260			MZ	MOZ
ny-ZM	ny	ZM	Nyanja		0.1500			ZM	ZMB
ny-ZW	ny	ZW	Nyanja		0.0190			ZW	ZWE
nym-TZ	nym	TZ	Nyamwezi		0.0330	R1081		TZ	TZA
nyn-UG	nyn	UG	Nyankole		0.0630			UG	UGA
nzi-GH	nzi	GH	Nzima		0.0100	R1226		GH	GHA
oc-FR	oc	FR	Occitan		0.0300	R1015	5	FR	FRA
om-ET	om	ET	Oromo		0.3200			ET	ETH
om-KE	om	KE	Oromo		0.0047			KE	KEN
om-SO	om	SO	Oromo		0.0042			SO	SOM
or-IN	or	IN	Oriya	official_regional	0.0320	R1195		IN	IND
os-GE	os	GE	Ossetic	official_regional	0.0220			GE	GEO
os-RU	os	RU	Ossetic		0.0032	R1233		RU	RUS
pa_Arab-PK	pa_Arab	PK	Punjabi (Arabic)		0.7000	R1158		PK	PAK
pa_Guru-GB	pa_Guru	GB	Punjabi (Gurmukhi)		0.0079			GB	GBR
pa_Guru-IN	pa_Guru	IN	Punjabi (Gurmukhi)	official_regional	0.0280	R1195		IN	IND
pa_Guru-KE	pa_Guru	KE	Punjabi (Gurmukhi)		0.0002			KE	KEN
pa_Guru-SG	pa_Guru	SG	Punjabi (Gurmukhi)		0.0017			SG	SGP
pag-PH	pag	PH	Pangasinan	official_regional	0.0140			PH	PHL
pam-PH	pam	PH	Pampanga		0.0230			PH	PHL
pap-AW	pap	AW	Papiamento	official	0.6100			AW	ABW
pap-BQ	pap	BQ	Papiamento		0.8100			BQ	BES
pap-CW	pap	CW	Papiamento	de_facto_official	0.8100	R1221		CW	CUW
pau-PW	pau	PW	Palauan	official	0.7400			PW	PLW
pcd-FR	pcd	FR	Picard		0.0110			FR	FRA
pcm-NG	pcm	NG	Nigerian Pidgin		0.2100	R1275		NG	NGA
pdc-US	pdc	US	Pennsylvania German		0.0004			US	USA
pdt-CA	pdt	CA	Plautdietsch		0.0024			CA	CAN
pfl-DE	pfl	DE	Palatine German		0.0000	R1150		DE	DEU
pko-KE	pko	KE	Pökoot		0.0070		1	KE	KEN
pl-CZ	pl	CZ	Polish		0.0049			CZ	CZE
pl-DE	pl	DE	Polish		0.0029			DE	DEU
pl-IL	pl	IL	Polish		0.0150			IL	ISR
pl-PL	pl	PL	Polish	official	0.9600			PL	POL
pl-RO	pl	RO	Polish		0.0001			RO	ROU
pl-SK	pl	SK	Polish		0.0093			SK	SVK
pl-UA	pl	UA	Polish		0.0240			UA	UKR
pms-IT	pms	IT	Piedmontese		0.0001			IT	ITA
pnt_Grek-GR	pnt_Grek	GR	Pontic (Greek)		0.0370			GR	GRC
pon-FM	pon	FM	Pohnpeian		0.2300			FM	FSM
prd-AF	prd	AF	Parsi-Dari		0.0120			AF	AFG
prd-IR	prd	IR	Parsi-Dari		0.0050			IR	IRN
ps-AE	ps	AE	Pashto		0.0290			AE	ARE
ps-AF	ps	AF	Pashto	official	0.4300	R1055		AF	AFG
ps-IR	ps	IR	Pashto		0.0016			IR	IRN
ps-PK	ps	PK	Pashto		0.1500	R1107		PK	PAK
pt-AG	pt	AG	Portuguese		0.0180			AG	ATG
pt-AO	pt	AO	Portuguese	official	0.6700			AO	AGO
pt-BR	pt	BR	Portuguese	official	0.9100			BR	BRA
pt-CV	pt	CV	Portuguese	official	0.7600			CV	CPV
pt-FR	pt	FR	Portuguese		0.0130			FR	FRA
pt-GW	pt	GW	Portuguese	official	1.0000	R1027		GW	GNB
pt-MO	pt	MO	Portuguese	official	0.0500	R1085		MO	MAC
pt-MZ	pt	MZ	Portuguese	official	0.2700			MZ	MOZ
pt-PT	pt	PT	Portuguese	official	0.9600			PT	PRT
pt-ST	pt	ST	Portuguese	official	0.8500			ST	STP
pt-TL	pt	TL	Portuguese	official	0.5900	R1049	100	TL	TLS
puu-GA	puu	GA	Punu		0.0900			GA	GAB
qu-BO	qu	BO	Quechua	official	0.3200	R1008		BO	BOL
qu-EC	qu	EC	Quechua	official	0.1700	R1288		EC	ECU
qu-PE	qu	PE	Quechua	official	0.1500			PE	PER
quc-GT	quc	GT	Kʼicheʼ	official_regional	0.0700	R1289		GT	GTM
qug-EC	qug	EC	Chimborazo Highland Quichua		0.0570			EC	ECU
raj-IN	raj	IN	Rajasthani		0.0010			IN	IND
rcf-RE	rcf	RE	Réunion Creole French		0.7100			RE	REU
rej-ID	rej	ID	Rejang		0.0046			ID	IDN
rgn-IT	rgn	IT	Romagnol		0.0000	R1150		IT	ITA
ria-IN	ria	IN	Riang (India)		0.0001			IN	IND
rif_Latn-MA	rif_Latn	MA	Riffian (Latin)		0.0490		5	MA	MAR
rif_Latn-NL	rif_Latn	NL	Riffian (Latin)		0.0120			NL	NLD
rif_Tfng-MA	rif_Tfng	MA	Riffian (Tifinagh)		0.0490		5	MA	MAR
rjs-NP	rjs	NP	Rajbanshi		0.0044	R1232	67	NP	NPL
rkt-BD	rkt	BD	Rangpuri		0.0650	R1087	20	BD	BGD
rkt-IN	rkt	IN	Rangpuri		0.0044	R1228	20	IN	IND
rm-CH	rm	CH	Romansh	official_regional	0.0050	R1117		CH	CHE
rmf-FI	rmf	FI	Kalo Finnish Romani		0.0009	R1111		FI	FIN
rmo-CH	rmo	CH	Sinte Romani		0.0029			CH	CHE
rmt-IR	rmt	IR	Domari		0.0190	R1270	1	IR	IRN
rmu-SE	rmu	SE	Tavringer Romani		0.0010			SE	SWE
rn-BI	rn	BI	Rundi	official	0.6300			BI	BDI
rng-MZ	rng	MZ	Ronga		0.0340			MZ	MOZ
ro-HU	ro	HU	Romanian		0.0099			HU	HUN
ro-IL	ro	IL	Romanian		0.0370			IL	ISR
ro-MD	ro	MD	Romanian	official	0.6300			MD	MDA
ro-RO	ro	RO	Romanian	official	0.9000			RO	ROU
ro-RS	ro	RS	Romanian	official_regional	0.0210	R1259		RS	SRB
ro-UA	ro	UA	Romanian		0.0052			UA	UKR
rob-ID	rob	ID	Tae'		0.0011			ID	IDN
rof-TZ	rof	TZ	Rombo		0.0075	R1189		TZ	TZA
rtm-FJ	rtm	FJ	Rotuman		0.0028			FJ	FJI
ru-BY	ru	BY	Russian	official	0.1200			BY	BLR
ru-CN	ru	CN	Russian		0.0000			CN	CHN
ru-DE	ru	DE	Russian		0.0600	R1304		DE	DEU
ru-EE	ru	EE	Russian		0.3000			EE	EST
ru-FI	ru	FI	Russian		0.0081	R1110		FI	FIN
ru-GE	ru	GE	Russian		0.0900	R1038		GE	GEO
ru-IL	ru	IL	Russian		0.1100			IL	ISR
ru-KG	ru	KG	Russian	official	0.3600	R1108		KG	KGZ
ru-KZ	ru	KZ	Russian	official	0.7200	R1257		KZ	KAZ
ru-LT	ru	LT	Russian		0.0800	R1048		LT	LTU
ru-LV	ru	LV	Russian		0.3800			LV	LVA
ru-MD	ru	MD	Russian		0.0300	R1051		MD	MDA
ru-MN	ru	MN	Russian		0.0014			MN	MNG
ru-RU	ru	RU	Russian	official	0.9400	R1204		RU	RUS
ru-SJ	ru	SJ	Russian		0.6400	R1074		SJ	SJM
ru-TJ	ru	TJ	Russian		0.1200	R1108		TJ	TJK
ru-TM	ru	TM	Russian		0.1200			TM	TKM
ru-UA	ru	UA	Russian	de_facto_official	0.4600	R1200		UA	UKR
ru-US	ru	US	Russian		0.0024			US	USA
ru-UZ	ru	UZ	Russian		0.1400			UZ	UZB
rue-UA	rue	UA	Rusyn		0.0120			UA	UKR
rug-SB	rug	SB	Roviana		0.0160			SB	SLB
rw-CD	rw	CD	Kinyarwanda		0.0038			CD	COD
rw-RW	rw	RW	Kinyarwanda	official	0.7700			RW	RWA
rw-UG	rw	UG	Kinyarwanda		0.0210			UG	UGA
rwk-TZ	rwk	TZ	Rwa		0.0022			TZ	TZA
ryu-JP	ryu	JP	Central Okinawan		0.0077	R1151	5	JP	JPN
sa-IN	sa	IN	Sanskrit	official_regional	0.0000	R1197		IN	IND
saf-GH	saf	GH	Safaliba		0.0002	R1226		GH	GHA
sah-RU	sah	RU	Sakha	official_regional	0.0032	R1183		RU	RUS
saq-KE	saq	KE	Samburu		0.0046	R1180	1	KE	KEN
sas-ID	sas	ID	Sasak		0.0097			ID	IDN
sat-IN	sat	IN	Santali	official_regional	0.0055			IN	IND
saz-IN	saz	IN	Saurashtra		0.0003			IN	IND
sbp-TZ	sbp	TZ	Sangu		0.0020	R1282	1	TZ	TZA
sc-IT	sc	IT	Sardinian		0.0170			IT	ITA
sck-IN	sck	IN	Sadri		0.0018			IN	IND
scn-IT	scn	IT	Sicilian		0.0082	R1149	5	IT	ITA
sco-GB	sco	GB	Scots		0.0270	R1016	5	GB	GBR
scs-CA	scs	CA	North Slavey		0.0000	R1172		CA	CAN
sd_Arab-IN	sd_Arab	IN	Sindhi (Arabic)	official_regional	0.0026			IN	IND
sd_Arab-PK	sd_Arab	PK	Sindhi (Arabic)		0.1200			PK	PAK
sd_Deva-IN	sd_Deva	IN	Sindhi (Devanagari)	official_regional	0.0003	R1102		IN	IND
sdc-IT	sdc	IT	Sassarese Sardinian		0.0017			IT	ITA
se-FI	se	FI	Northern Sami		0.0004			FI	FIN
se-NO	se	NO	Northern Sami	official_regional	0.0330			NO	NOR
se-SE	se	SE	Northern Sami		0.0033			SE	SWE
sef-CI	sef	CI	Cebaara Senoufo		0.0430		5	CI	CIV
seh-MZ	seh	MZ	Sena		0.0460			MZ	MOZ
sei-MX	sei	MX	Seri		0.0000			MX	MEX
ses-ML	ses	ML	Koyraboro Senni		0.0340			ML	MLI
sg-CF	sg	CF	Sango	official	0.4900	R1011		CF	CAF
sgs-LT	sgs	LT	Samogitian		0.0000	R1303		LT	LTU
shi_Latn-MA	shi_Latn	MA	Tachelhit (Latin)		0.0870	R1181		MA	MAR
shi_Tfng-MA	shi_Tfng	MA	Tachelhit (Tifinagh)		0.0870			MA	MAR
shn-MM	shn	MM	Shan		0.0640			MM	MMR
shn-TH	shn	TH	Shan		0.0010			TH	THA
si-LK	si	LK	Sinhala	official	0.6800			LK	LKA
sid-ET	sid	ET	Sidamo		0.0350			ET	ETH
sk-HU	sk	HU	Slovak		0.0011			HU	HUN
sk-RS	sk	RS	Slovak	official_regional	0.0085	R1259		RS	SRB
sk-SK	sk	SK	Slovak	official	0.9000			SK	SVK
skr-PK	skr	PK	Saraiki		0.0910	R1129	1	PK	PAK
sl-AT	sl	AT	Slovenian	official_regional	0.0037			AT	AUT
sl-HU	sl	HU	Slovenian		0.0005			HU	HUN
sl-IT	sl	IT	Slovenian		0.0017	R1253		IT	ITA
sl-SI	sl	SI	Slovenian	official	0.8700			SI	SVN
sli-PL	sli	PL	Lower Silesian		0.0003			PL	POL
sly-ID	sly	ID	Selayar		0.0005			ID	IDN
sm-AS	sm	AS	Samoan	official	0.9900			AS	ASM
sm-WS	sm	WS	Samoan	official	1.0000			WS	WSM
sma-SE	sma	SE	Southern Sami		0.0000		75	SE	SWE
smj-SE	smj	SE	Lule Sami		0.0001			SE	SWE
smn-FI	smn	FI	Inari Sami		0.0001	R1112		FI	FIN
sms-FI	sms	FI	Skolt Sami		0.0001	R1112		FI	FIN
sn-ZW	sn	ZW	Shona	official	0.8100			ZW	ZWE
snk-ML	snk	ML	Soninke		0.0590			ML	MLI
so-DJ	so	DJ	Somali		0.4100			DJ	DJI
so-ET	so	ET	Somali		0.0600			ET	ETH
so-KE	so	KE	Somali		0.0130			KE	KEN
so-SO	so	SO	Somali	official	0.7800			SO	SOM
sou-TH	sou	TH	Southern Thai		0.0800		5	TH	THA
sq-AL	sq	AL	Albanian	official	1.0000			AL	ALB
sq-GR	sq	GR	Albanian		0.0009			GR	GRC
sq-ME	sq	ME	Albanian		0.0790			ME	MNE
sq-MK	sq	MK	Albanian	official_regional	0.2500	R1053		MK	MKD
sq-RS	sq	RS	Albanian		0.1900			RS	SRB
sq-TR	sq	TR	Albanian		0.0002			TR	TUR
sq-XK	sq	XK	Albanian	official	0.9200			XK	XKK
sr_Cyrl-BA	sr_Cyrl	BA	Serbian (Cyrillic)	official	0.1000			BA	BIH
sr_Cyrl-ME	sr_Cyrl	ME	Serbian (Cyrillic)		0.0500	R1255		ME	MNE
sr_Cyrl-RS	sr_Cyrl	RS	Serbian (Cyrillic)	official	0.9900			RS	SRB
sr_Cyrl-XK	sr_Cyrl	XK	Serbian (Cyrillic)	official	0.0500	R1264		XK	XKK
sr_Latn-BA	sr_Latn	BA	Serbian (Latin)	official	0.1000	R1003	5	BA	BIH
sr_Latn-ME	sr_Latn	ME	Serbian (Latin)	official	1.0000			ME	MNE
sr_Latn-RO	sr_Latn	RO	Serbian (Latin)		0.0012			RO	ROU
sr_Latn-RS	sr_Latn	RS	Serbian (Latin)	official	0.9900	R1017	5	RS	SRB
sr_Latn-RU	sr_Latn	RU	Serbian (Latin)		0.0000			RU	RUS
sr_Latn-TR	sr_Latn	TR	Serbian (Latin)		0.0003	R1017	5	TR	TUR
sr_Latn-XK	sr_Latn	XK	Serbian (Latin)	official	0.0500	R1264		XK	XKK
srn-SR	srn	SR	Sranan Tongo		0.6800	R1103	75	SR	SUR
srr-SN	srr	SN	Serer		0.1100	R1069		SN	SEN
srx-IN	srx	IN	Sirmauri		0.0004	R1196		IN	IND
ss-LS	ss	LS	Swati		0.0240			LS	LSO
ss-SZ	ss	SZ	Swati	official	0.5800			SZ	SWZ
ss-ZA	ss	ZA	Swati	official_regional	0.0270		50	ZA	ZAF
ssy-ER	ssy	ER	Saho		0.0360	R1175		ER	ERI
st-LS	st	LS	Southern Sotho	official	0.9800			LS	LSO
st-ZA	st	ZA	Southern Sotho	official_regional	0.0790		50	ZA	ZAF
stq-DE	stq	DE	Saterland Frisian		0.0000			DE	DEU
su-ID	su	ID	Sundanese		0.1200	R1269		ID	IDN
suk-TZ	suk	TZ	Sukuma		0.0870			TZ	TZA
sus-GN	sus	GN	Susu		0.1100			GN	GIN
sv-AX	sv	AX	Swedish	official	0.9900			AX	ALA
sv-FI	sv	FI	Swedish	official	0.0570			FI	FIN
sv-SE	sv	SE	Swedish	official	0.9500	R1205		SE	SWE
sw-BI	sw	BI	Swahili		0.0006			BI	BDI
sw-CD	sw	CD	Swahili	official_regional	0.5000	R1122		CD	COD
sw-KE	sw	KE	Swahili	official	0.6600	R1127		KE	KEN
sw-MZ	sw	MZ	Swahili		0.0004			MZ	MOZ
sw-SO	sw	SO	Swahili		0.0200			SO	SOM
sw-TZ	sw	TZ	Swahili	official	0.9000	R1133		TZ	TZA
sw-UG	sw	UG	Swahili	official	0.7500	R1134		UG	UGA
sw-YT	sw	YT	Swahili		0.0140			YT	MYT
sw-ZA	sw	ZA	Swahili		0.0000		50	ZA	ZAF
swb-YT	swb	YT	Comorian		0.8800	R1169		YT	MYT
swc-CD	swc	CD	Congo Swahili		0.0900	R1250		CD	COD
swv-IN	swv	IN	Shekhawati		0.0028			IN	IND
sxn-ID	sxn	ID	Sangir		0.0009			ID	IDN
syl-BD	syl	BD	Sylheti		0.0500		35	BD	BGD
syl-GB	syl	GB	Sylheti		0.0051			GB	GBR
syr-IQ	syr	IQ	Syriac		0.0050	R1229		IQ	IRQ
syr-SY	syr	SY	Syriac		0.0008	R1017	5	SY	SYR
szl-PL	szl	PL	Silesian		0.0130			PL	POL
ta-IN	ta	IN	Tamil	official_regional	0.0590	R1195		IN	IND
ta-LK	ta	LK	Tamil	official	0.1500			LK	LKA
ta-MU	ta	MU	Tamil		0.0250			MU	MUS
ta-MY	ta	MY	Tamil		0.0420			MY	MYS
ta-RE	ta	RE	Tamil		0.1500			RE	REU
ta-SG	ta	SG	Tamil	official	0.0210			SG	SGP
taj-NP	taj	NP	Eastern Tamang		0.0300			NP	NPL
tbw-PH	tbw	PH	Tagbanwa		0.0001	R1100	36	PH	PHL
tcy-IN	tcy	IN	Tulu		0.0015			IN	IND
tdd-CN	tdd	CN	Tai Nüa		0.0002			CN	CHN
tdg-NP	tdg	NP	Western Tamang		0.0130			NP	NPL
tdh-NP	tdh	NP	Thulung		0.0012			NP	NPL
te-IN	te	IN	Telugu	official_regional	0.0720	R1195		IN	IND
tem-SL	tem	SL	Timne		0.2600	R1061	6	SL	SLE
teo-KE	teo	KE	Teso		0.0074			KE	KEN
teo-UG	teo	UG	Teso		0.0390			UG	UGA
tet-TL	tet	TL	Tetum	official	0.5900	R1076		TL	TLS
tg_Arab-PK	tg_Arab	PK	Tajik (Arabic)		0.0033			PK	PAK
tg_Cyrl-TJ	tg_Cyrl	TJ	Tajik (Cyrillic)	official	1.0000			TJ	TJK
th-TH	th	TH	Thai	official	0.8000	R1199	93	TH	THA
thl-NP	thl	NP	Dangaura Tharu		0.0200			NP	NPL
thq-NP	thq	NP	Kochila Tharu		0.0100			NP	NPL
thr-NP	thr	NP	Rana Tharu		0.0120			NP	NPL
ti-ER	ti	ER	Tigrinya	de_facto_official	0.6000	R1223		ER	ERI
ti-ET	ti	ET	Tigrinya		0.0600			ET	ETH
ti-IL	ti	IL	Tigrinya		0.0013			IL	ISR
tig-ER	tig	ER	Tigre		0.1800			ER	ERI
tiv-NG	tiv	NG	Tiv		0.0160		25	NG	NGA
tk_Latn-AF	tk_Latn	AF	Turkmen (Latin)	official_regional	0.0170			AF	AFG
tk_Latn-IR	tk_Latn	IR	Turkmen (Latin)		0.0280			IR	IRN
tk_Latn-TM	tk_Latn	TM	Turkmen (Latin)	official	0.7000			TM	TKM
tkl-TK	tkl	TK	Tokelau	official	1.0000	R1185	5	TK	TKL
tkr_Latn-AZ	tkr_Latn	AZ	Tsakhur (Latin)		0.0016			AZ	AZE
tkt-NP	tkt	NP	Kathoriya Tharu		0.0024			NP	NPL
tly_Latn-AZ	tly_Latn	AZ	Talysh (Latin)		0.0980			AZ	AZE
tmh-ML	tmh	ML	Tamashek		0.0210			ML	MLI
tmh-NE	tmh	NE	Tamashek		0.0600			NE	NER
tn-BW	tn	BW	Tswana	official	0.6200			BW	BWA
tn-NA	tn	NA	Tswana		0.0028			NA	NAM
tn-ZA	tn	ZA	Tswana	official_regional	0.0820		50	ZA	ZAF
tn-ZW	tn	ZW	Tswana		0.0022			ZW	ZWE
to-TO	to	TO	Tongan	official	0.9500			TO	TON
tog-MW	tog	MW	Nyasa Tonga		0.0098			MW	MWI
tpi-PG	tpi	PG	Tok Pisin	official	0.7100	R1057	45	PG	PNG
tr-BG	tr	BG	Turkish		0.1100			BG	BGR
tr-CY	tr	CY	Turkish	official	0.2300			CY	CYP
tr-DE	tr	DE	Turkish		0.0250			DE	DEU
tr-GR	tr	GR	Turkish		0.0120			GR	GRC
tr-MK	tr	MK	Turkish		0.0350			MK	MKD
tr-NL	tr	NL	Turkish		0.0120			NL	NLD
tr-RO	tr	RO	Turkish		0.0013			RO	ROU
tr-TR	tr	TR	Turkish	official	0.9300	R1206		TR	TUR
tr-UA	tr	UA	Turkish		0.0042			UA	UKR
tr-UZ	tr	UZ	Turkish		0.0076			UZ	UZB
tru-TR	tru	TR	Turoyo		0.0000			TR	TUR
trv-TW	trv	TW	Taroko		0.0002			TW	TWN
ts-MZ	ts	MZ	Tsonga		0.0790			MZ	MOZ
ts-SZ	ts	SZ	Tsonga		0.0170			SZ	SWZ
ts-ZA	ts	ZA	Tsonga	official_regional	0.0440		50	ZA	ZAF
tsd-GR	tsd	GR	Tsakonian		0.0000			GR	GRC
tsf-NP	tsf	NP	Southwestern Tamang		0.0043			NP	NPL
tsg-PH	tsg	PH	Tausug	official_regional	0.0110			PH	PHL
tsj-BT	tsj	BT	Tshangla		0.1500			BT	BTN
tt-RU	tt	RU	Tatar	official_regional	0.0140	R1214		RU	RUS
ttj-UG	ttj	UG	Tooro		0.0190			UG	UGA
tts-TH	tts	TH	Northeastern Thai		0.2400	R1164	5	TH	THA
ttt_Latn-AZ	ttt_Latn	AZ	Muslim Tat (Latin)		0.0022			AZ	AZE
tum-MW	tum	MW	Tumbuka		0.0840			MW	MWI
tvl-TV	tvl	TV	Tuvalu	official	0.9200			TV	TUV
twq-NE	twq	NE	Tasawaq		0.0005			NE	NER
ty-PF	ty	PF	Tahitian	official	0.3100			PF	PYF
tyv-RU	tyv	RU	Tuvinian	official_regional	0.0013			RU	RUS
tzm_Latn-MA	tzm_Latn	MA	Central Atlas Tamazight (Latin)	official	0.0980		25	MA	MAR
udm-RU	udm	RU	Udmurt	official_regional	0.0038			RU	RUS
ug_Arab-AF	ug_Arab	AF	Uyghur (Arabic)		0.0001	R1165		AF	AFG
ug_Arab-CN	ug_Arab	CN	Uyghur (Arabic)	official_regional	0.0055			CN	CHN
ug_Cyrl-KZ	ug_Cyrl	KZ	Uyghur (Cyrillic)		0.0200			KZ	KAZ
ug_Cyrl-MN	ug_Cyrl	MN	Uyghur (Cyrillic)		0.0003			MN	MNG
uk-MD	uk	MD	Ukrainian		0.1400			MD	MDA
uk-PL	uk	PL	Ukrainian		0.0039			PL	POL
uk-RS	uk	RS	Ukrainian	official_regional	0.0000	R1260		RS	SRB
uk-SK	uk	SK	Ukrainian		0.0190			SK	SVK
uk-UA	uk	UA	Ukrainian	official	0.6500			UA	UKR
uli-FM	uli	FM	Ulithian		0.0280			FM	FSM
umb-AO	umb	AO	Umbundu		0.2900			AO	AGO
und-AQ	und	AQ	Unknown Language		1.0000	R1060		AQ	ATA
und-BV	und	BV	Unknown Language		1.0000			BV	BVT
und-CP	und	CP	Unknown Language		1.0000	R1062		CP	CPT
und-GS	und	GS	Unknown Language		1.0000	R1178	100	GS	SGS
und-HM	und	HM	Unknown Language		1.0000	R1064	100	HM	HMD
unr_Beng-IN	unr_Beng	IN	unr (Bengali)		0.0009			IN	IND
unr_Deva-NP	unr_Deva	NP	unr (Devanagari)		0.0002			NP	NPL
unx_Beng-IN	unx_Beng	IN	unx (Bengali)		0.0005			IN	IND
ur-IN	ur	IN	Urdu	official_regional	0.0500	R1195		IN	IND
ur-MU	ur	MU	Urdu		0.0520			MU	MUS
ur-PK	ur	PK	Urdu	official	0.9500	R1106		PK	PAK
uz_Arab-AF	uz_Arab	AF	Uzbek (Arabic)	official_regional	0.0470			AF	AFG
uz_Cyrl-CN	uz_Cyrl	CN	Uzbek (Cyrillic)		0.0000			CN	CHN
uz_Cyrl-UZ	uz_Cyrl	UZ	Uzbek (Cyrillic)	official	0.1500	R1263		UZ	UZB
uz_Latn-TM	uz_Latn	TM	Uzbek (Latin)		0.0900			TM	TKM
uz_Latn-TR	uz_Latn	TR	Uzbek (Latin)		0.0000			TR	TUR
uz_Latn-UZ	uz_Latn	UZ	Uzbek (Latin)	official	0.8500	R1263		UZ	UZB
vai_Latn-LR	vai_Latn	LR	Vai (Latin)		0.0000	R1272		LR	LBR
vai_Vaii-LR	vai_Vaii	LR	Vai (Vai)		0.0260	R1271		LR	LBR
ve-ZA	ve	ZA	Venda	official_regional	0.0230		50	ZA	ZAF
ve-ZW	ve	ZW	Venda		0.0064			ZW	ZWE
vec-IT	vec	IT	Venetian		0.0130	R1295		IT	ITA
vep-RU	vep	RU	Veps		0.0000			RU	RUS
vi-CN	vi	CN	Vietnamese		0.0000			CN	CHN
vi-US	vi	US	Vietnamese		0.0034			US	USA
vi-VN	vi	VN	Vietnamese	official	0.8600	R1218		VN	VNM
vic-SX	vic	SX	Virgin Islands Creole English		0.0780	R1238		SX	SXM
vls-BE	vls	BE	West Flemish		0.1000			BE	BEL
vmf-DE	vmf	DE	Main-Franconian		0.0600			DE	DEU
vmw-MZ	vmw	MZ	Makhuwa		0.1300			MZ	MOZ
vot-RU	vot	RU	Votic		0.0000			RU	RUS
vro-EE	vro	EE	Võro		0.0570			EE	EST
vun-TZ	vun	TZ	Vunjo		0.0075			TZ	TZA
wa-BE	wa	BE	Walloon		0.0580	R1005	5	BE	BEL
wae-CH	wae	CH	Walser		0.0012			CH	CHE
wae-LI	wae	LI	Walser		0.0350			LI	LIE
wal-ET	wal	ET	Wolaytta		0.0180			ET	ETH
war-PH	war	PH	Waray	official_regional	0.0290			PH	PHL
wbp-AU	wbp	AU	Warlpiri		0.0001			AU	AUS
wbq-IN	wbq	IN	Waddar		0.0018			IN	IND
wbr-IN	wbr	IN	Wagdi		0.0015			IN	IND
wls-WF	wls	WF	Wallisian		0.6100			WF	WLF
wo-MR	wo	MR	Wolof		0.0028			MR	MRT
wo-SN	wo	SN	Wolof	de_facto_official	0.7000	R1297		SN	SEN
wtm-IN	wtm	IN	Mewati		0.0046		25	IN	IND
wuu-CN	wuu	CN	Wu Chinese		0.0600			CN	CHN
xav-BR	xav	BR	Xavánte		0.0000			BR	BRA
xh-LS	xh	LS	Xhosa		0.0099			LS	LSO
xh-ZA	xh	ZA	Xhosa	official_regional	0.1800		50	ZA	ZAF
xmf-GE	xmf	GE	Mingrelian		0.1100			GE	GEO
xnr-IN	xnr	IN	Kangri		0.0016			IN	IND
xog-UG	xog	UG	Soga		0.0530			UG	UGA
xsr-NP	xsr	NP	Sherpa		0.0052			NP	NPL
yao-MZ	yao	MZ	Yao		0.0240			MZ	MOZ
yap-FM	yap	FM	Yapese		0.0620			FM	FSM
yav-CM	yav	CM	Yangben		0.0001			CM	CMR
ybb-CM	ybb	CM	Yemba		0.0160	R1114	2	CM	CMR
yi-CA	yi	CA	Yiddish		0.0004	R1021		CA	CAN
yi-GB	yi	GB	Yiddish		0.0005	R1249		GB	GBR
yi-IL	yi	IL	Yiddish		0.0300			IL	ISR
yi-SE	yi	SE	Yiddish		0.0003			SE	SWE
yi-UA	yi	UA	Yiddish		0.0130			UA	UKR
yi-US	yi	US	Yiddish		0.0005	R1262		US	USA
yo-BJ	yo	BJ	Yoruba		0.0670			BJ	BEN
yo-NG	yo	NG	Yoruba	official	0.1300			NG	NGA
yrl-BR	yrl	BR	Nheengatu		0.0001			BR	BRA
yua-MX	yua	MX	Yucateco		0.0067			MX	MEX
za-CN	za	CN	Zhuang	official_regional	0.0031			CN	CHN
zdj-KM	zdj	KM	Ngazidja Comorian	official	0.3700	R1198		KM	COM
zea-NL	zea	NL	Zeelandic		0.0140			NL	NLD
zgh-MA	zgh	MA	Standard Moroccan Tamazight		0.2200	R1254		MA	MAR
zh_Hans-CN	zh_Hans	CN	Chinese (Simplified)	official	0.9000			CN	CHN
zh_Hans-HK	zh_Hans	HK	Chinese (Simplified)		0.0500	R1143		HK	HKG
zh_Hans-MN	zh_Hans	MN	Chinese (Simplified)		0.0140			MN	MNG
zh_Hans-MO	zh_Hans	MO	Chinese (Simplified)		0.0500	R1143		MO	MAC
zh_Hans-SG	zh_Hans	SG	Chinese (Simplified)	official	0.7700			SG	SGP
zh_Hant-AU	zh_Hant	AU	Chinese (Traditional)		0.0210			AU	AUS
zh_Hant-BN	zh_Hant	BN	Chinese (Traditional)		0.1100			BN	BRN
zh_Hant-GB	zh_Hant	GB	Chinese (Traditional)		0.0054			GB	GBR
zh_Hant-GF	zh_Hant	GF	Chinese (Traditional)		0.0250			GF	GUF
zh_Hant-HK	zh_Hant	HK	Chinese (Traditional)	official	0.9500			HK	HKG
zh_Hant-ID	zh_Hant	ID	Chinese (Traditional)		0.0092			ID	IDN
zh_Hant-MO	zh_Hant	MO	Chinese (Traditional)	official	0.9800			MO	MAC
zh_Hant-MY	zh_Hant	MY	Chinese (Traditional)		0.1700			MY	MYS
zh_Hant-PA	zh_Hant	PA	Chinese (Traditional)		0.0017			PA	PAN
