tag	type	c_code	l_name	officialStatus	populationPercent	references	writingPercent	geo	ISO
hz-NA	hz	NA	Herero		0.0910			NA	NAM
ia-FR	ia	FR	Interlingua		0.0000	R1220		FR	FRA
ia-SE	ia	SE	Interlingua		0.0000	R1215		SE	SWE
iba-MY	iba	MY	Iban		0.0250			MY	MYS
ibb-NG	ibb	NG	Ibibio		0.0140			NG	NGA
id-ID	id	ID	Indonesian	official	0.6400			ID	IDN
id-NL	id	NL	Indonesian		0.0180			NL	NLD
ig-NG	ig	NG	Igbo		0.1300			NG	NGA
ii-CN	ii	CN	Sichuan Yi		0.0060		60	CN	CHN
ik-US	ik	US	Inupiaq		0.0000	R1017	5	US	USA
ikt-CA	ikt	CA	Inuinnaqtun	official_regional	0.0001	R1207	30	CA	CAN
ilo-PH	ilo	PH	Iloko	official_regional	0.0960	R1157	10	PH	PHL
inh-RU	inh	RU	Ingush	official_regional	0.0016			RU	RUS
is-IS	is	IS	Icelandic	official	1.0000	R1035		IS	ISL
it-AU	it	AU	Italian		0.0190			AU	AUS
it-BR	it	BR	Italian		0.0028			BR	BRA
it-CA	it	CA	Italian		0.0200	R1207		CA	CAN
it-CH	it	CH	Italian	official	0.0430			CH	CHE
it-DE	it	DE	Italian		0.0700	R1304		DE	DEU
it-FR	it	FR	Italian		0.0170			FR	FRA
it-GB	it	GB	Italian		0.0034			GB	GBR
it-HR	it	HR	Italian	official_regional	0.0160			HR	HRV
it-IT	it	IT	Italian	official	0.9500			IT	ITA
it-SI	it	SI	Italian		0.0020			SI	SVN
it-SM	it	SM	Italian	official	0.8900			SM	SMR
it-US	it	US	Italian		0.0034			US	USA
it-VA	it	VA	Italian		0.9800	R1077		VA	VAT
iu_Cans-CA	iu_Cans	CA	Inuktitut (Unified Canadian Aboriginal Syllabics)	official_regional	0.0004	R1207	30	CA	CAN
iu_Latn-CA	iu_Latn	CA	Inuktitut (Latin)	official_regional	0.0004	R1207	30	CA	CAN
izh-RU	izh	RU	Ingrian		0.0000			RU	RUS
ja-BR	ja	BR	Japanese		0.0021			BR	BRA
ja-JP	ja	JP	Japanese	official	0.9500			JP	JPN
jam-JM	jam	JM	Jamaican Creole English		0.9500			JM	JAM
jgo-CM	jgo	CM	Ngomba		0.0034	R1267	30	CM	CMR
jmc-TZ	jmc	TZ	Machame		0.0075			TZ	TZA
jml-NP	jml	NP	Jumli		0.0320			NP	NPL
jut-DK	jut	DK	Jutish		0.0000	R1298		DK	DNK
jv-ID	jv	ID	Javanese		0.3400	R1294	10	ID	IDN
jv-MY	jv	MY	Javanese		0.0120			MY	MYS
ka-GE	ka	GE	Georgian	official	0.8600			GE	GEO
ka-IR	ka	IR	Georgian		0.0007			IR	IRN
