l_code	y	y_est	y_deviation_perc	ranking
en	9327.000	4874.0959607785935	0.9135856320953711	1
ja	1444.000	827.7869947090232	0.7444101069836	2
es	1357.000	1748.9320050331714	-0.2240979088410803	3
ru	1275.000	824.4815073303864	0.5464264372991955	4
de	1225.000	612.0725280023922	1.0013968017777335	5
fr	895.000	629.2030847302348	0.4224342215100921	6
it	631.000	278.51171212919763	1.2656138773341354	7
zh	541.000	4822.004329098249	-0.8878059903979449	8
pl	394.000	171.4813792279486	1.2976255601271989	9
pt	380.000	828.1966050732597	-0.541171748746318	10
nl	197.000	147.84584439873947	0.3324689699677458	11
tr	167.000	265.8982881061692	-0.3719402964590754	12
ar	167.000	875.2066966991217	-0.8091879316853409	13
id	140.000	182.2908591415162	-0.23199659785839793	14
sv	128.000	48.33945732883387	1.6479403591411363	15
ko	103.000	341.3589586844317	-0.698264840047107	16
fa	85.600	134.7994231780592	-0.36498244590461426	17
cs	84.700	37.556241009059164	1.2552842809686149	18
uk	83.300	79.20331237171078	0.05172369065908461	19
fi	77.700	15.240873533084862	4.098132979801254	20
hu	65.700	45.96089867483843	0.42947596531587967	21
th	64.600	104.07825266055842	-0.37931317687772	22
he	59.800	20.72016360079733	1.8860775982337723	23
vi	56.100	258.7842202449201	-0.7832170758058374	24
ro	46.100	65.63575400191729	-0.29763890579129526	25
da	40.000	15.75731744707765	1.5385031515893204	26
ca	32.700	22.345479529460125	0.46338322956500216	27
el	31.900	36.58912227177704	-0.12815618360416345	28
bg	31.000	10.070595705941901	2.078268744490381	29
hr	26.100	6.44887312632077	3.047218713836079	30
sr	21.300	42.66951661114396	-0.5008145933756114	31
sk	19.100	6.529518184484573	1.925177549146793	32
lt	16.500	-10.409396166494465	-2.58510635353757	33
ms	14.300	119.23197359213474	-0.8800657275965504	34
sl	13.400	-13.382265071764404	-2.001325256086357	35
hi	13.300	608.4209546195597	-0.978140134886846	36
kk	13.200	28.33150019804558	-0.5340875030362638	37
et	12.400	-18.557908814301513	-1.6681787330716935	38
sh	11.800	116.34357536589185	-0.8985762646292254	39
az	9.100	69.44893812519703	-0.8689684789190694	40
tl	9.100	160.8577069631497	-0.9434282623332143	41
bn	8.600	183.77998126185497	-0.9532049141535907	42
be	8.400	19.512321215305047	-0.5695027819954491	43
ka	7.700	-10.863351914378475	-1.7088051699594178	44
eu	7.500	-18.72341612312373	-1.40056792791874	45
lv	7.500	-17.086460257432783	-1.4389440461629508	46
bs	6.600	17.793030764395635	-0.6290682522054203	47
gl	6.600	-5.60213939545552	-2.178121345097901	48
hy	6.500	-3.4293262768516932	-2.8954160308033887	49
mk	6.400	-16.86404912145479	-1.379505535942598	50
sq	5.900	-2.38864941549161	-3.4700150477234084	51
ta	5.500	78.82193701347506	-0.9302224709466383	52
af	5.400	4.600143764635696	0.17387635610724178	53
nn	5.300	-14.842459709989575	-1.3570836710058836	54
ml	4.600	29.645207293517206	-0.8448315792007998	55
arz	3.900	191.74307537601524	-0.9796602824255741	56
mr	3.700	82.43686904443837	-0.9551171697459121	57
war	3.200	-16.187584622352098	-1.1976823642720227	58
uz	3.000	70.59243913068642	-0.9575025309092074	59
is	3.000	-22.181339989213722	-1.1352488173148616	60
ur	2.900	206.1942728392304	-0.9859355938452222	61
cy	2.700	-20.967490295344874	-1.1287707761858101	62
te	2.600	85.49838180090849	-0.9695900677271957	63
ceb	2.500	45.86455271692479	-0.9454916738111466	64
oc	2.500	-11.960033772623762	-1.2090295100773412	65
sw	2.500	121.34439740624545	-0.979397483085846	66
br	2.400	-21.186905352917297	-1.1132775155230272	67
jv	2.000	85.98784218413309	-0.9767408979083667	68
mn	2.000	-16.958443174202102	-1.1179353540567027	69
ku	1.900	-4.1166469192443245	-1.4615406755235583	70
lb	1.900	-21.965129739189116	-1.086500741063692	71
als	1.700	-14.057954026399482	-1.1209279811847133	72
mg	1.700	-21.00785813038687	-1.0809221001707465	73
sco	1.600	-12.040653493725115	-1.132883152964565	74
tt	1.500	-14.64461818810863	-1.1024267058883102	75
kn	1.500	31.921908562681434	-0.9530103284064416	76
fy	1.400	-19.18136541192805	-1.0729875047961601	77
ga	1.400	-21.24229719283388	-1.0659062429685002	78
my	1.300	-21.349584315031702	-1.0608911152937393	79
ast	1.300	-21.180142810975475	-1.0613782452555676	80
mt	1.300	-22.35055256046794	-1.0581641101034498	81
ckb	1.300	-11.812892074932844	-1.1100492573498257	82
ne	1.200	-2.5717047682342624	-1.4666165474444885	83
bar	1.200	28.26244226317883	-0.9575408243623943	84
scn	1.200	-22.383307622926466	-1.05361137952511	85
su	1.200	13.663312639061107	-0.9121735678821107	86
nds	1.200	41.65998766738937	-0.9711953827355705	87
yo	1.100	43.74332469471946	-0.974853306014648	88
ky	1.000	-17.81562844537529	-1.05613049256534	89
qu	0.991	10.31819554486923	-0.9039560749076151	90
am	0.982	-19.90582510604406	-1.0493322931739129	91
zh-min-nan	0.963	71.83115702814747	-0.9865935613480006	92
vec	0.953	-21.017783832240056	-1.0453425540773786	93
lmo	0.942	-4.758558496874944	-1.1979591089651696	94
ia	0.936	-24.715227029105122	-1.0378713899288785	95
ba	0.925	-15.364008134101994	-1.0602056437308744	96
pnb	0.913	88.87347091424236	-0.989726968119868	97
new	0.893	-23.721603617317488	-1.037645009772783	98
yi	0.888	-19.914823632960463	-1.0445899002856494	99
ht	0.884	-17.493644139123937	-1.0505326387669545	100
pa	0.877	202.4630192605005	-0.9956683447515341	101
si	0.872	0.5661127745669923	0.5403291343619201	102
li	0.871	-17.636794615624503	-1.0493853911089024	103
tg	0.868	-13.572020420493066	-1.0639551056590928	104
ce	0.864	-19.968103788459537	-1.043269005868216	105
gu	0.861	44.182580444522586	-0.9805126818909751	106
cv	0.825	-15.364008134101994	-1.0536969254896986	107
gd	0.812	-24.25131188761176	-1.0334827247186902	108
ilo	0.809	3.516174627560467	-0.7699204147430849	109
or	0.759	24.268126671506135	-0.9687244091695317	110
pms	0.755	-16.750521986345028	-1.0450732222324457	111
nap	0.725	-21.95658143833696	-1.033019712200467	112
bpy	0.712	-24.611985998295765	-1.0289289941920696	113
sah	0.706	-22.414029604836976	-1.0314981291827885	114
as	0.691	-4.816244514959983	-1.143472782134223	115
co	0.688	-22.292429136731272	-1.030862495772898	116
bo	0.682	-14.31250207678786	-1.0476506481075782	117
mzn	0.678	-14.86223756448461	-1.0456189720463207	118
wa	0.658	-20.378736303240863	-1.0322885575537557	119
diq	0.658	-20.6782329295225	-1.031820900859501	120
km	0.655	-18.147317772213025	-1.0360934882069972	121
so	0.654	-21.872043650219847	-1.029901183924961	122
hsb	0.635	-24.627576011883207	-1.025784104765065	123
os	0.612	-22.067368769196037	-1.0277332565744899	124
sa	0.603	-24.697708355476927	-1.0244152206885333	125
ig	0.602	43.467055866634595	-0.9861504307573292	126
pam	0.590	-17.952100376075613	-1.0328652351335046	127
gan	0.572	61.668290242867144	-0.9907245685303208	128
wuu	0.563	280.1699261263944	-0.9979905052345054	129
ps	0.556	8.138730066109577	-0.9316846737164517	130
mi	0.554	-23.959808068286172	-1.0231220550023223	131
tk	0.552	-15.822803455024236	-1.0348863588913961	132
se	0.546	-23.151585572356062	-1.0235836978980803	133
bcl	0.526	-17.952100376075613	-1.0293001926783447	134
lo	0.524	-19.955200040419395	-1.0262588197030666	135
vls	0.504	-17.237903072059048	-1.0292378949976193	136
gn	0.483	-8.127749185102488	-1.059426046375213	137
ace	0.463	-20.238481923723448	-1.0228772099481076	138
dsb	0.432	-24.66850791869451	-1.0175122063087008	139
min	0.429	-15.121229914246534	-1.0283707080993336	140
ksh	0.424	-23.05667580453062	-1.0183894679178638	141
rue	0.414	-22.860435201231635	-1.0181098914502598	142
szl	0.404	-22.14914076625661	-1.0182399852104185	143
hak	0.396	92.15689059870816	-0.9957029800221412	144
frp	0.389	-24.316388064021467	-1.0159974416831898	145
frr	0.389	-24.649701366916343	-1.0157811242501338	146
sc	0.381	-19.87984734000138	-1.019165137110151	147
ext	0.378	-23.383302074854416	-1.0161653815526117	148
lad	0.373	-24.125406298589176	-1.015460879513636	149
kw	0.373	-24.701524167494007	-1.0151002827789408	150
stq	0.371	-24.709439825505807	-1.0150145046840375	151
bug	0.366	-19.469639723566843	-1.0187984988523942	152
csb	0.364	-24.459383765439835	-1.0148818140101437	153
fur	0.354	-24.545386958179947	-1.0144222619347227	154
lij	0.350	-22.269513973702598	-1.015716553150343	155
vep	0.341	-24.698092683365914	-1.0138067341624992	156
kv	0.332	-23.42117552922769	-1.014175206517098	157
krc	0.328	-23.565053518426364	-1.013918915980544	158
mrj	0.322	-24.56500554335714	-1.013108077644504	159
myv	0.318	-22.485968599436315	-1.0141421526314847	160
zea	0.299	-22.914078169661614	-1.0130487466170852	161
nv	0.298	-23.630100167395028	-1.0126110341424275	162
zu	0.296	26.265709297681685	-0.9887305537175756	163
ln	0.291	-24.013556660802244	-1.0121181549285037	164
ay	0.286	-16.02441051467158	-1.0178477704211426	165
rm	0.279	-24.43321117525461	-1.0114188838298326	166
udm	0.277	-21.98239563724096	-1.012600992383684	167
kab	0.273	-20.73906469820524	-1.0131635637369714	168
pcd	0.270	-20.03886142357202	-1.013473819409839	169
sn	0.267	-8.68987993235001	-1.030725395756739	170
bjn	0.266	-19.89085421892198	-1.0133729802185647	171
kl	0.265	-24.65999852604511	-1.0107461482497704	172
lez	0.255	-23.42117552922769	-1.0108875833188553	173
wo	0.248	-7.86190146753928	-1.0315445316917233	174
ab	0.248	-24.35528414061608	-1.0101825952252563	175
tpi	0.248	-21.951925858866563	-1.0112974142494122	176
pdc	0.246	-23.869015165611586	-1.0103062484268062	177
om	0.233	-19.686831400842994	-1.011835322569483	178
kaa	0.230	-23.209058464561018	-1.0099099237632236	179
pag	0.219	-20.598874006660882	-1.0106316490857308	180
av	0.212	-21.910456642641623	-1.0096757453967167	181
tet	0.198	-24.652949092639812	-1.0080314934840438	182
st	0.181	-7.266627457556055	-1.0249083912801655	183
koi	0.179	-24.392351956318734	-1.0073383657435144	184
haw	0.176	-24.52277347891326	-1.0071770022322857	185
xh	0.171	13.314838990785585	-0.987157186044958	186
bi	0.165	-24.495509782970828	-1.0067359283992001	187
glk	0.165	-15.650544753887104	-1.0105427640120335	188
iu	0.136	-24.509789046972386	-1.0055488033674773	189
ts	0.122	-14.485521836682658	-1.0084222026224179	190
tn	0.118	-5.767522663336781	-1.020459390779703	191
sd	0.116	-0.8656201880478065	-1.1340079651580326	192
tyv	0.108	-23.780870502224374	-1.0045414653761264	193
ik	0.108	-24.66177856878471	-1.004379246196651	194
lg	0.079	-18.392999225306497	-1.0042951124518782	195
