l_code	y	y_est	y_deviation_perc	ranking
tk	0.552	-20.925103970001047	-1.026	142
cv	0.825	-31.0868248500308	-1.027	143
vec	0.953	-35.68779179046589	-1.027	144
pms	0.755	-28.26717059514727	-1.027	145
li	0.871	-31.688446981311444	-1.027	146
ba	0.925	-31.0868248500308	-1.030	147
ilo	0.809	-27.11440335613957	-1.030	148
am	0.982	-31.58383339617562	-1.031	149
scn	1.2	-38.06239057296784	-1.032	150
mt	1.3	-38.9885483403908	-1.033	151
as	0.691	-20.709546099589254	-1.033	152
ast	1.3	-37.414994868374414	-1.035	153
ga	1.4	-36.26950485268884	-1.039	154
fy	1.4	-33.96420331115084	-1.041	155
ne	1.2	-25.999274413136895	-1.046	156
mg	1.7	-35.09561204456427	-1.048	157
tt	1.5	-30.238196236463274	-1.050	158
ig	0.602	-11.38713613098351	-1.053	159
lb	1.9	-34.21922257493517	-1.056	160
qu	0.991	-16.88241727519706	-1.059	161
sco	1.6	-26.89163014223365	-1.059	162
br	2.4	-37.00614978944699	-1.065	163
mn	2.0	-29.984447963929938	-1.067	164
als	1.7	-23.91494282079231	-1.071	165
cy	2.7	-37.627535914886145	-1.072	166
is	3.0	-38.91174541169657	-1.077	167
war	3.2	-37.58635921559823	-1.085	168
zu	0.296	-3.1393345974337876	-1.094	169
si	0.872	-9.139935907783794	-1.095	170
yo	1.1	-11.085797652826521	-1.099	171
oc	2.5	-23.63882681329409	-1.106	172
ku	1.9	-16.466152741701073	-1.115	173
lmo	0.942	-7.142641720476426	-1.132	174
eo	7.3	-42.1145828940434	-1.173	175
mk	6.4	-36.75921065555105	-1.174	176
my	1.3	-7.414721612548142	-1.175	177
sq	5.9	-28.900389120748468	-1.204	178
lv	7.5	-35.21799362268264	-1.213	179
ckb	1.3	-6.0380333204214125	-1.215	180
ka	7.7	-35.00116118822539	-1.220	181
eu	7.5	-34.08126336989022	-1.220	182
nn	5.3	-22.18827225939254	-1.239	183
hy	6.5	-27.02207972218301	-1.241	184
bs	6.6	-24.274375909183682	-1.272	185
af	5.4	-17.106256688747266	-1.316	186
et	12.4	-36.12565705043823	-1.343	187
gl	6.6	-16.698299801663566	-1.395	188
sl	13.4	-28.49893018919545	-1.470	189
ps	0.556	-1.0271224844746314	-1.541	190
ceb	2.5	-4.607513150735883	-1.543	191
lt	16.5	-26.311397777283645	-1.627	192
uz	3.0	-1.7758610923197722	-2.689	193
sk	19.1	-10.370479528302205	-2.842	194
hr	26.1	-11.954261940045395	-3.183	195
bg	31.0	-10.529192457195997	-3.944	196
