l_code	y	y_est	y_deviation_perc	ranking
mzn	0.678	-22.68423721512059	-1.030	142
ba	0.925	-29.355989614114872	-1.032	143
scn	1.2	-33.999684895164265	-1.035	144
mt	1.3	-34.23012778888498	-1.038	145
ast	1.3	-33.607244523968774	-1.039	146
ky	1.0	-24.96131905420786	-1.040	147
min	0.429	-10.593302733235621	-1.040	148
ga	1.4	-33.8224980658854	-1.041	149
tk	0.552	-13.190368580746394	-1.042	150
fy	1.4	-33.2146593196992	-1.042	151
lmo	0.942	-22.078993271344096	-1.043	152
so	0.654	-14.599722383657529	-1.045	153
xh	0.171	-3.4627683314063376	-1.049	154
tt	1.5	-28.87197768977346	-1.052	155
sco	1.6	-29.81996405106654	-1.054	156
lb	1.9	-34.436295985746064	-1.055	157
als	1.7	-30.462224634011523	-1.056	158
br	2.4	-33.868456025405976	-1.071	159
cy	2.7	-33.8937963568698	-1.080	160
oc	2.5	-29.215535214358177	-1.086	161
is	3.0	-34.56358068039368	-1.087	162
ku	1.9	-18.788636422927816	-1.101	163
wo	0.248	-2.309921986414416	-1.107	164
mn	2.0	-17.57826170726528	-1.114	165
ht	0.884	-7.50077978031932	-1.118	166
war	3.2	-26.12609080631904	-1.122	167
tg	0.868	-6.228358238895684	-1.139	168
bar	1.2	-8.50103740851467	-1.141	169
nn	5.3	-31.35704378426961	-1.169	170
ilo	0.809	-4.126863005501992	-1.196	171
mk	6.4	-30.33418007095659	-1.211	172
eu	7.5	-32.22955190469584	-1.233	173
lv	7.5	-31.458797439345144	-1.238	174
gl	6.6	-24.60925941051591	-1.268	175
sq	5.9	-19.652081933722933	-1.300	176
ka	7.7	-22.331163079740655	-1.345	177
hy	6.5	-18.119608869057114	-1.359	178
et	12.4	-32.471261127475216	-1.382	179
nds	1.2	-2.9899705288526874	-1.401	180
sl	13.4	-29.15044520993568	-1.460	181
lt	16.5	-27.01201137882295	-1.611	182
ckb	1.3	-2.109715523068175	-1.616	183
bs	6.6	-9.785538365138482	-1.674	184
af	5.4	-6.937577172918925	-1.778	185
sk	19.1	-19.002585860899643	-2.005	186
hr	26.1	-16.969246899676424	-2.538	187
da	40.0	-17.960980747799425	-3.227	188
bg	31.0	-8.188550754903847	-4.786	189
ca	32.7	-8.524575309212501	-4.836	190
fi	77.7	-17.61759230740818	-5.410	191
be	8.4	-1.7501748267049066	-5.800	192
he	59.8	-9.136955650098933	-7.545	193
sv	128.0	-3.7715403198057516	-34.938	194
cs	84.7	-0.9364396309231537	-91.449	195
