l_code	y	y_est	y_deviation_perc	ranking
en	9327.000	3969.128135658602	1.3498863431004753	1
ja	1444.000	373.2395957560031	2.868828539145622	2
es	1357.000	1402.5801176659832	-0.03249733622478015	3
ru	1275.000	575.1139079443934	1.2169521244185892	4
de	1225.000	283.0799612383162	3.327399207776176	5
fr	895.000	637.9285877369692	0.40297835401135285	6
it	631.000	172.28704133283048	2.662492518987605	7
zh	541.000	4247.342629510046	-0.8726262401716324	8
pl	394.000	94.1547420628058	3.1846007048395166	9
pt	380.000	697.6415276018864	-0.4553076544823326	10
nl	197.000	43.88581975971077	3.4889215030877736	11
tr	167.000	216.9807004055903	-0.23034629491085654	12
ar	167.000	892.6413795597003	-0.8129147899435566	13
id	140.000	499.87381744855014	-0.719929319934006	14
sv	128.000	-3.7715403198057516	-34.93838833641118	15
ko	103.000	145.94777028914808	-0.2942680809995318	16
fa	85.600	217.00436478261224	-0.6055378882090633	17
cs	84.700	-0.9364396309231537	-91.44896991010695	18
uk	83.300	66.21934823075162	0.25794049965167565	19
fi	77.700	-17.61759230740818	-5.410364290660036	20
hu	65.700	6.466639965622491	9.159835764673748	21
th	64.600	148.1995914078073	-0.5641013623159233	22
he	59.800	-9.136955650098933	-7.544849541800335	23
vi	56.100	227.8023144579426	-0.7537338453584619	24
ro	46.100	39.04435222142315	0.180708537269713	25
da	40.000	-17.960980747799425	-3.2270498789383084	26
ca	32.700	-8.524575309212501	-4.835968222916764	27
el	31.900	5.706838875371254	4.589784589445723	28
bg	31.000	-8.188550754903847	-4.785773689127486	29
hr	26.100	-16.969246899676424	-2.538076507125233	30
sr	21.300	17.35320969814166	0.2274386335734188	31
sk	19.100	-19.002585860899643	-2.0051263622652957	32
lt	16.500	-27.01201137882295	-1.6108393695160284	33
ms	14.300	82.30870724054762	-0.8262638245768072	34
sl	13.400	-29.15044520993568	-1.4596842313555036	35
hi	13.300	1686.6382100289923	-0.9921144914653799	36
kk	13.200	6.012132390989201	1.1955604337295953	37
et	12.400	-32.471261127475216	-1.3818761443025036	38
sh	11.800	61.89471369443335	-0.8093536701978272	39
az	9.100	59.94486251253102	-0.8481938298198997	40
tl	9.100	165.8354318382414	-0.9451263225287326	41
bn	8.600	821.9965506155538	-0.9895376689919685	42
be	8.400	-1.7501748267049066	-5.799520523223882	43
ka	7.700	-22.331163079740655	-1.344809626462565	44
eu	7.500	-32.22955190469584	-1.2327056864512984	45
lv	7.500	-31.458797439345144	-1.2384070787976098	46
bs	6.600	-9.785538365138482	-1.6744646797883764	47
gl	6.600	-24.60925941051591	-1.268191735878883	48
hy	6.500	-18.119608869057114	-1.3587273901425136	49
mk	6.400	-30.33418007095659	-1.2109831215160376	50
sq	5.900	-19.652081933722933	-1.300222644089205	51
ta	5.500	226.68195652921673	-0.9757369307896762	52
af	5.400	-6.937577172918925	-1.7783697197746628	53
nn	5.300	-31.35704378426961	-1.169021035160807	54
ml	4.600	100.92969062061142	-0.9544237184151182	55
arz	3.900	144.78018357488173	-0.9730626118595651	56
mr	3.700	257.50006010671876	-0.9856310713152201	57
war	3.200	-26.12609080631904	-1.1224829242048728	58
uz	3.000	72.80010826069503	-0.9587912700726063	59
is	3.000	-34.56358068039368	-1.0867965627676348	60
ur	2.900	758.2198403016295	-0.9961752517596396	61
cy	2.700	-33.8937963568698	-1.0796605954544467	62
te	2.600	265.8757230992122	-0.9902209950961569	63
ceb	2.500	43.15505943207495	-0.9420693649157188	64
oc	2.500	-29.215535214358177	-1.085570912244365	65
sw	2.500	420.2963157377195	-0.9940518155729918	66
br	2.400	-33.868456025405976	-1.070862397689451	67
jv	2.000	249.51718441115634	-0.9919845200052259	68
mn	2.000	-17.57826170726528	-1.1137768929207248	69
ku	1.900	-18.788636422927816	-1.101124954319805	70
lb	1.900	-34.436295985746064	-1.0551743428151057	71
als	1.700	-30.462224634011523	-1.0558068237111589	72
mg	1.700	33.98288189630897	-0.9499748136374317	73
sco	1.600	-29.81996405106654	-1.053655329606032	74
tt	1.500	-28.87197768977346	-1.0519534898550196	75
kn	1.500	119.30162073057623	-0.9874268263011489	76
fy	1.400	-33.2146593196992	-1.0421500635163725	77
ga	1.400	-33.8224980658854	-1.04139256648852	78
my	1.300	75.35262899195473	-0.9827477817643391	79
ast	1.300	-33.607244523968774	-1.038682135902955	80
mt	1.300	-34.23012778888498	-1.0379782397546913	81
ckb	1.300	-2.109715523068175	-1.6161968216972684	82
ne	1.200	29.42058617110898	-0.9592122334673807	83
bar	1.200	-8.50103740851467	-1.1411592423764745	84
scn	1.200	-33.999684895164265	-1.0352944447485357	85
su	1.200	64.57122295871739	-0.9814158700266958	86
nds	1.200	-2.9899705288526874	-1.4013417484955828	87
yo	1.100	40.804071713864545	-0.9730419060207112	88
ky	1.000	-24.96131905420786	-1.0400619854194535	89
qu	0.991	0.9154364729192608	0.08254371473726908	90
am	0.982	63.26590275292483	-0.9844782108960802	91
zh-min-nan	0.963	51.43506523144879	-0.9812773640770811	92
vec	0.953	-33.03473285493654	-1.0288484246016112	93
lmo	0.942	-22.078993271344096	-1.0426649887711412	94
ia	0.936	-35.64771578992554	-1.0262569418336904	95
ba	0.925	-29.355989614114872	-1.0315097536195899	96
pnb	0.913	394.8506534035626	-0.997687733343911	97
new	0.893	-32.55925934554436	-1.027426913816521	98
yi	0.888	-32.17488415564905	-1.0275991669683786	99
ht	0.884	-7.50077978031932	-1.1178544132597328	100
pa	0.877	825.3494514376786	-0.9989374197820422	101
si	0.872	12.042220548800543	-0.9275881058259762	102
li	0.871	-32.53554713992597	-1.0267707193075342	103
